ar	Arabic	نعم	لا	موافق	هل ترغب حقًا في الخروج من اللعبة؟	يرجى منح "التخزين" الإذن لتشغيل Samorost 3.	%1$s	زيارة %1$s الأمانيت ديزاين؟	الموقع الرسمي	صفحة الفيسبوك	صفحة تويتر	متجر للبضائع	زيارة Machinarium في Google Play؟	زيارة Botanicula في Google Play؟	زيارة Chuchel في Google Play؟	تسجيل الخروج من خدمات ألعاب Google Play؟	فشل تسجيل الدخول!	
cs	Czech	Ano	Ne	OK	Opravdu chcete ukončit hru?	Ke spuštění Samorostu 3 prosím povolte oprávnění "Úložiště".	Navštívit hru %1$s na Google Play?	Navštívit %1$s Amanita Design?	oficiální stránku	Facebook stránku	Twitter stránku	merchandise obchod	Machinarium	Botanicula	Chuchel	Odhlášení od služby Google Play Hry?	Přihlášení selhalo!	Koupit celou hru na Google Play?
de	German	Ja	Nein	OK	Wollen Sie das Spiel wirklich beenden?	Bitte erteilen Sie die Berechtigung "Speicher", um Samorost 3 auszuführen.	%1$s auf Google Play besuchen?	Amanita Design %1$s besuchen?	offizielle Website	Facebook Seite	Twitter Seite	Merchandise Shop	Machinarium	Botanicula	Chuchel	Von Google Play Spiele-Diensten abmelden?	Anmeldung fehlgeschlagen!	
en	English	Yes	No	OK	Are you sure you want to quit the game?	Please grant "Storage" permission to run Samorost 3.	Visit %1$s on Google Play?	Visit Amanita Design's %1$s? 	official website	Facebook page	Twitter page	Merchandise Store	Machinarium	Botanicula	Chuchel	Sign out from Google Play Games services?	Login failed!	Buy full Samorost 3 game on Google Play?
es	Spanish	Sí	No	OK	¿Seguro que quieres salir del juego?	Por favor concede permiso "Almacenamiento" para ejecutar Samorost 3.	¿Visite %1$s en Google Play?	¿Visite %1$s de Amanita Design?	el oficial sitio web	la página de Facebook	la página de Twitter	sitio web de mercancías	Machinarium	Botanicula	Chuchel	¿Salir de los servicios de Google Play Juegos?	¡Error de inicio de sesion!	
fa	Farsi	بله	خیر	قبول	آیا مطمئن هستید که می‌خواهید از بازی خارج شوید؟	براي اجراي بازي دسترسي به حافظه را قبول كنيد.	%1$s	%1$s	آیا می‌خواهید از سایت آمانیتا دیزاین دیدن کنید؟	آیا می‌خواهید از صفحه‌ی فیس‌بوک آمانیتا دیزاین دیدن کنید؟	آیا می‌خواهید از صفحه‌ی توییتر آمانیتا دیزاین دیدن کنید؟	ایا می‌خواهید از فروشگاه آمانیتا دیزاین دیدن کنید؟	ماشیناریوم را در Google Play ببینید.	بوتانیکولا را در Google Play ببینید.	چوچل را در Google Play ببینید.	آیا می‌خواهید Google Play بازی ها خارج شوید؟	ورود ناموفق	Buy full Samorost 3 game on Google Play?
fr	French 	Oui	Non	OK	Voulez-vous vraiment quitter le jeu?	Veuillez accorder la autorisation "Stockage" pour exécuter Samorost 3.	Visitez %1$s sur Google Play?	Visitez %1$s de Amanita Design?	le site officiel	la page Facebook	la page Twitter	magasin de marchandises	Machinarium	Botanicula	Chuchel	Se déconnecter des services Google Play Jeux?	Échec de la connexion!	
ja	Japanese	はい	いいえ	OK	本当にゲームを終了しますか?	Samorost 3(사모로스트 3)をプレイするためにストレージへのアクセス権限を許可して下さい。	Google Playの%1$sページをぜひ見てください！	Amanita Designの%1$sを見ますか？	公式ウェブサイト	Facebookページ	Twitterページ	グッズストア	Machinarium(マシナリウム)	Botanicula(ボタニキュラ)	『Chuchel』	Google Playゲームサービスからログアウトしますか？	ログインに失敗しました！	
ko	Korean	예	아니오	확인	정말로 게임을 종료하시겠습니까?	Samorost 3(사모로스트 3) 실행하려면 "저장"권한을 부여하십시오.	Google Play의 %1$s 페이지를 꼭 봐주세요!	Amanita Design의%1$s를보고 싶습니까?	공식 웹 사이트	Facebook 페이지	Twitter 페이지	상품 가게	Machinarium (머시나리움)	Botanicula (보타니큘라)	Chuchel	Google Play 게임 서비스에서 로그 아웃 하시겠습니까?	로그인 실패!	
it	Italian	Sì	No	OK	Sei sicuro di voler interrompere it gioco?	Si prega di concedere l'autorizzazione "Memoria" ("Archivazione") per eseguire Samorost 3.	Visitare %1$s su Google Play?	Visitare %1$s di Amanita Design?	il sito ufficiale	la pagina di Facebook	la pagina di Twitter	negozio di merchandise	Machinarium	Botanicula	Chuchel	Esci da Google Play Giochi servizi?	Accesso fallito!	
pl	Polish	Tak	Nie	OK	Czy na pewno chcesz wyjść z gry?	Należy przyznać uprawniene "Pamięć" na prowadzenie Samorosta 3.	Odwiedzić %1$s w Google Play?	Odwiedzić %1$s Amanita Design?	oficjalną stronę	Facebook stronę	Twitter stronę	merchandise sklep	Machinarium	Botanicula	Chuchel	Wylogować się z usługi Google Play Gry?	Logowanie nie powiodło się!	
