ar	Arabic	نعم	لا	موافق	هل ترغب حقًا في الخروج من اللعبة؟	يرجى منح "التخزين" الإذن لتشغيل CHUCHEL.	%1$s	زيارة %1$s الأمانيت ديزاين؟	الموقع الرسمي	صفحة الفيسبوك	صفحة تويتر	متجر للبضائع	زيارة Machinarium في Google Play؟	زيارة Botanicula في Google Play؟	زيارة Samorost 3 في Google Play؟	تسجيل الخروج من خدمات ألعاب Google Play؟	فشل تسجيل الدخول!	شراء كاملة لعبة CHUCHEL على Google Play؟
cs	Czech	Ano	Ne	OK	Opravdu chcete ukončit hru?	Ke spuštění hry CHUCHEL prosím povolte oprávnění "Úložiště".	Navštívit hru %1$s na Google Play?	Navštívit %1$s Amanita Design?	oficiální stránku	Facebook stránku	Twitter stránku	merchandise obchod	Machinarium	Botanicula	Samorost 3	Odhlášení od služby Google Play Hry?	Přihlášení selhalo!	Koupit celou hru CHUCHEL na Google Play?
de	German	Ja	Nein	OK	Wollen Sie das Spiel wirklich beenden?	Bitte erteilen Sie die Berechtigung "Speicher", um CHUCHEL auszuführen.	%1$s auf Google Play besuchen?	Amanita Design %1$s besuchen?	offizielle Website	Facebook Seite	Twitter Seite	Merchandise Shop	Machinarium	Botanicula	Samorost 3	Von Google Play Spiele-Diensten abmelden?	Anmeldung fehlgeschlagen!	Komplettes CHUCHEL Spiel auf Google Play kaufen?
en	English	Yes	No	OK	Are you sure you want to quit the game?	Please grant "Storage" permission to run CHUCHEL.	Visit %1$s on Google Play?	Visit Amanita Design's %1$s? 	official website	Facebook page	Twitter page	Merchandise Store	Machinarium	Botanicula	Samorost 3	Sign out from Google Play Games services?	Login failed!	Buy the full CHUCHEL game on Google Play?
es	Spanish	Sí	No	OK	¿Seguro que quieres salir del juego?	Por favor concede permiso "Almacenamiento" para ejecutar CHUCHEL.	¿Visite %1$s en Google Play?	¿Visite %1$s de Amanita Design?	el oficial sitio web	la página de Facebook	la página de Twitter	sitio web de mercancías	Machinarium	Botanicula	Samorost 3	¿Salir de los servicios de Google Play Juegos?	¡Error de inicio de sesion!	Comprar el juego completo de CHUCHEL en Google Play?
fa	Farsi	بله	خیر	قبول	آیا مطمئن هستید که می‌خواهید از بازی خارج شوید؟	براي اجراي بازي دسترسي به حافظه را قبول كنيد.	%1$s	%1$s	آیا می‌خواهید از سایت آمانیتا دیزاین دیدن کنید؟	آیا می‌خواهید از صفحه‌ی فیس‌بوک آمانیتا دیزاین دیدن کنید؟	آیا می‌خواهید از صفحه‌ی توییتر آمانیتا دیزاین دیدن کنید؟	ایا می‌خواهید از فروشگاه آمانیتا دیزاین دیدن کنید؟	ماشیناریوم را در Google Play ببینید.	بوتانیکولا را در Google Play ببینید.	Samorost 3 را در Google Play ببینید.	آیا می‌خواهید Google Play بازی ها خارج شوید؟	ورود ناموفق	خرید کامل CHUCHEL بازی در Google Play؟
fr	French 	Oui	Non	OK	Voulez-vous vraiment quitter le jeu?	Veuillez accorder la autorisation "Stockage" pour exécuter CHUCHEL.	Visitez %1$s sur Google Play?	Visitez %1$s de Amanita Design?	le site officiel	la page Facebook	la page Twitter	magasin de marchandises	Machinarium	Botanicula	Samorost 3	Se déconnecter des services Google Play Jeux?	Échec de la connexion!	Achetez le jeu complet de CHUCHEL sur Google Play?
ja	Japanese	はい	いいえ	OK	本当にゲームを終了しますか?	CHUCHELをプレイするためにストレージへのアクセス権限を許可して下さい。	Google Playの%1$sページをぜひ見てください！	Amanita Designの%1$sを見ますか？	公式ウェブサイト	Facebookページ	Twitterページ	グッズストア	Machinarium (マシナリウム)	Botanicula (ボタニキュラ)	Samorost 3 (サモロスト3)	Google Playゲームサービスからログアウトしますか？	ログインに失敗しました！	Google Playで完全なCHUCHELゲームを購入しますか？
ko	Korean	예	아니오	확인	정말로 게임을 종료하시겠습니까?	CHUCHEL실행하려면 "저장"권한을 부여하십시오.	Google Play의 %1$s 페이지를 꼭 봐주세요!	Amanita Design의%1$s를보고 싶습니까?	공식 웹 사이트	Facebook 페이지	Twitter 페이지	상품 가게	Machinarium (머시나리움)	Botanicula (보타니큘라)	Samorost 3 (사모로스트 3)	Google Play 게임 서비스에서 로그 아웃 하시겠습니까?	로그인 실패!	Google Play에서 CHUCHEL 게임을 구매 하시겠습니까?
it	Italian	Sì	No	OK	Sei sicuro di voler interrompere it gioco?	Si prega di concedere l'autorizzazione "Memoria" ("Archivazione") per eseguire CHUCHEL.	Visitare %1$s su Google Play?	Visitare %1$s di Amanita Design?	il sito ufficiale	la pagina di Facebook	la pagina di Twitter	negozio di merchandise	Machinarium	Botanicula	Samorost 3	Esci da Google Play Giochi servizi?	Accesso fallito!	Acquista il completo CHUCHEL gioco su Google Play?
pl	Polish	Tak	Nie	OK	Czy na pewno chcesz wyjść z gry?	Należy przyznać uprawniene "Pamięć" na prowadzenie CHUCHELA.	Odwiedzić %1$s w Google Play?	Odwiedzić %1$s Amanita Design?	oficjalną stronę	Facebook stronę	Twitter stronę	merchandise sklep	Machinarium	Botanicula	Samorost 3	Wylogować się z usługi Google Play Gry?	Logowanie nie powiodło się!	Kup całą grę CHUCHEL w Google Play?
pt	Portuguese	Sim	Não	OK	Tem certeza que quer sair do jogo?	Por favor conceda "Memória" ("Armazenamento") permissão para executar CHUCHEL.	Visite %1$s no Google Play?	Visite %1$s de Amanita Design?	site oficial	página de Facebook	página de Twitter	loja de mercadorias	Machinarium	Botanicula	Samorost 3	Terminar sessão nos serviços do Google Play Jogos?	Falha na autenticação!	Comprar o jogo completo CHUCHEL no Google Play?
ru	Russian	Да	Нет	OK	Действительно хочешь покинуть игру?	Пожалуйста, предоставляйте "Память" разрешение на запуск CHUCHEL.	Посетить %1$s на Google Play?	Посетить %1$s Amanita Design?	официальный сайт	Facebook страницу	Twitter страницу	магазин товаров	Machinarium	Botanicula	Samorost 3	Выйти из услуг в Google Play Игры?	Ошибка входа!	Купить полную игру CHUCHEL в Google Play?
sk	Slovak	Ano	Ne	OK	Opravdu chcete ukončit hru?	K spusteniu hry CHUCHEL prosím povoľte oprávnenia "Úložisko".	Navštíviť %1$s na Google Play?	Navštíviť %1$s Amanita Design?	oficiálnu stránku	Facebook stránku	Twitter stránku	merchandise obchod	Machinarium	Botanicula	Samorost 3	Odhlásenie od služby Google Play Hry?	Prihlásenie zlyhalo!	Kúpiť celú hru CHUCHEL na Google Play?
tr	Turkish	Evet	Hayır	Tamam	Oyundan çıkmak istediğinizden emin misiniz?	CHUCHEL'ü çalıştırabilmek için lütfen "Depolama" yetkisini onaylayın.	Google Play'de %1$s ziyaret edilsin mi?	Amanita Design'ın %1$s ziyaret edilsin mi?	resmi web sayfası	Facebook sayfası	Twitter hesabı	alışveriş mağazası	Machinarium	Botanicula	Samorost 3	Google Play Oyunlar hizmetlerinden çıkış yapılsın mı?	Giriş başarısız!	Oyunun tamamını Google Play'den alıyor musunuz?
zh-rCN	Chinese Simplified	是	否	确定	您确定要退出游戏吗？	为了正常运行《脸黑先生》，需要您同意游戏获取‘存储’权限。	在Google Play商店查看%1$s?	是否访问Amanita Design%1$s?	的官方网站	的Facebook	的Twitter	的周边产品网站	《机械迷城 (Machinarium)》	《植物精灵 (Botanicula)》	《银河历险记3 (Samorost 3)》	从"Google Play游戏"服务登出？	登录失败！	在Google Play上购买完整的《脸黑先生》游戏？
zh-rHK	Chinese Traditional	是	否	確定	您確定要結束遊戲嗎？	為了正常運行《臉黑先生》，需要您同意遊戲獲取‘存儲’權限。	在Google Play商店查看%1$s?	是否訪問Amanita Design%1$s?	的官方網站	的Facebook	的Twitter	的周邊產品網站	《機械迷城 (Machinarium)》	《植物精靈 (Botanicula)》	《銀河歷險記3 (Samorost 3)》	從"Google Play遊戲"服務登出？	登錄失敗！	在Google Play上购买完整的《臉黑先生》游戏？
zh-rTW	Chinese Traditional	是	否	確定	您確定要結束遊戲嗎？	為了正常運行《臉黑先生》，需要您同意遊戲獲取‘存儲’權限。	在Google Play商店查看%1$s?	是否訪問Amanita Design%1$s?	的官方網站	的Facebook	的Twitter	的周邊產品網站	《機械迷城 (Machinarium)》	《植物精靈 (Botanicula)》	《銀河歷險記3 (Samorost 3)》	從"Google Play遊戲"服務登出？	登錄失敗！	在Google Play上購買完整的《臉黑先生》遊戲？
